Scotland,p2011
S00090530,86
S00090531,122
S00090532,85
S00090533,52
S00090534,93
S00090535,85
S00090536,76
S00090537,106
S00090538,127
S00090539,129
S00090540,93
S00090541,117
S00090542,74
S00090543,146
S00090544,90
S00090545,75
S00090546,97
S00090547,104
S00090548,86
S00090549,66
S00090550,89
S00090551,95
S00090552,82
S00090553,195
S00090554,96
S00090555,51
S00090556,148
S00090557,73
S00090558,92
S00090559,102
S00090560,107
S00090561,133
S00090562,137
S00090563,84
S00090564,111
S00090565,84
S00090566,68
S00090567,109
S00090568,107
S00090569,100
S00090570,97
S00090571,88
S00090572,120
S00090573,90
S00090574,70
S00090575,173
S00090576,90
S00090577,116
S00090578,60
S00090579,92
S00090580,140
S00090581,85
S00090582,140
S00090583,52
S00090584,84
S00090585,95
S00090586,116
S00090587,72
S00090588,67
S00090589,84
S00090590,131
S00090591,87
S00090592,84
S00090593,77
S00090594,141
S00090595,82
S00090596,184
S00090597,111
S00090598,91
S00090599,130
S00090600,77
S00090601,113
S00090602,80
S00090603,92
S00090604,100
S00090605,94
S00090606,88
S00090607,156
S00090608,62
S00090609,146
S00090610,67
S00090611,105
S00090612,97
S00090613,87
S00090614,119
S00090615,156
S00090616,88
S00090617,55
S00090618,77
S00090619,75
S00090620,120
S00090621,92
S00090622,109
S00090623,62
S00090624,77
S00090625,63
S00090626,117
S00090627,64
S00090628,83
S00090629,111
S00090630,63
S00090631,79
S00090632,114
S00090633,115
S00090634,95
S00090635,125
S00090636,87
S00090637,63
S00090638,122
S00090639,56
S00090640,53
S00090641,129
S00090642,176
S00090643,94
S00090644,109
S00090645,95
S00090646,76
S00090647,82
S00090648,92
S00090649,101
S00090650,140
S00090651,113
S00090652,114
S00090653,92
S00090654,143
S00090655,119
S00090656,85
S00090657,108
S00090658,151
S00090659,91
S00090660,54
S00090661,92
S00090662,64
S00090663,167
S00090664,182
S00090665,125
S00090666,179
S00090667,184
S00090668,192
S00090669,95
S00090670,129
S00090671,106
S00090672,104
S00090673,114
S00090674,95
S00090675,95
S00090676,105
S00090677,93
S00090678,125
S00090679,153
S00090680,56
S00090681,117
S00090682,89
S00090683,91
S00090684,132
S00090685,83
S00090686,52
S00090687,73
S00090688,96
S00090689,172
S00090690,488
S00090691,56
S00090692,136
S00090693,146
S00090694,150
S00090695,178
S00090696,115
S00090697,80
S00090698,96
S00090699,103
S00090700,72
S00090701,"2,081"
S00090702,102
S00090703,68
S00090704,103
S00090705,128
S00090706,61
S00090707,100
S00090708,95
S00090709,135
S00090710,120
S00090711,90
S00090712,150
S00090713,95
S00090714,71
S00090715,75
S00090716,181
S00090717,370
S00090718,99
S00090719,109
S00090720,50
S00090721,127
S00090722,75
S00090723,82
S00090724,65
S00090725,94
S00090726,69
S00090727,52
S00090728,98
S00090729,107
S00090730,116
S00090731,102
S00090732,112
S00090733,76
S00090734,95
S00090735,66
S00090736,75
S00090737,95
S00090738,91
S00090739,109
S00090740,85
S00090741,63
S00090742,116
S00090743,87
S00090744,93
S00090745,90
S00090746,150
S00090747,97
S00090748,100
S00090749,93
S00090750,82
S00090751,156
S00090752,65
S00090753,125
S00090754,135
S00090755,94
S00090756,61
S00090757,108
S00090758,85
S00090759,57
S00090760,128
S00090761,97
S00090762,66
S00090763,62
S00090764,64
S00090765,63
S00090766,84
S00090767,92
S00090768,78
S00090769,123
S00090770,59
S00090771,67
S00090772,97
S00090773,75
S00090774,115
S00090775,89
S00090776,96
S00090777,78
S00090778,84
S00090779,105
S00090780,93
S00090781,118
S00090782,194
S00090783,140
S00090784,128
S00090785,63
S00090786,86
S00090787,115
S00090788,73
S00090789,111
S00090790,89
S00090791,93
S00090792,167
