code,p2001
60QA001149,194
60QA001150,132
60QA001151,154
60QA001152,154
60QA001153,64
60QA001154,128
60QA001155,148
60QA001156,125
60QA001157,146
60QA001158,130
60QA001159,138
60QA001160,139
60QA001161,85
60QA001162,87
60QA001163,134
60QA001164,147
60QA001165,71
60QA001166,151
60QA001167,136
60QA001168,110
60QA001169,134
60QA001170,104
60QA001171,136
60QA001172,94
60QA001173,108
60QA001174,121
60QA001175,79
60QA001176,105
60QA001177,69
60QA001178,101
60QA001179,76
60QA001180,127
60QA001181,109
60QA001182,91
60QA001183,96
60QA001184,109
60QA001185,108
60QA001186,95
60QA001187,68
60QA001188,61
60QA001189,70
60QA001190,113
60QA001191,156
60QA001192,104
60QA001193,119
60QA001194,112
60QA001195,117
60QA001196,141
60QA001197,161
60QA001198,147
60QA001199,175
60QA001200,196
60QA001201,249
60QA001202,220
60QA001203,193
60QA001204,175
60QA001205,93
60QA001206,114
60QA001207,106
60QA001208,178
60QA001209,159
60QA001210,102
60QA001211,86
60QA001212,86
60QA001213,134
60QA001214,147
60QA001215,145
60QA001216,160
60QA001217,89
60QA001218,108
60QA001219,189
60QA001220,58
60QA001221,130
60QA001222,60
60QA001223,209
60QA001224,137
60QA001225,148
60QA001226,177
60QA001227,218
60QA001228,152
60QA001229,111
60QA001230,191
60QA001231,168
60QA001232,147
60QA001233,194
60QA001234,199
60QA001235,167
60QA001236,141
60QA001237,108
60QA001238,110
60QA001239,73
60QA001240,115
60QA001241,189
60QA001242,113
60QA001243,97
60QA001244,164
60QA001245,149
60QA001246,127
60QA001247,146
60QA001248,99
60QA001249,146
60QA001250,117
60QA001251,101
60QA001252,101
60QA001253,96
60QA001254,135
60QA001255,153
60QA001256,87
60QA001257,89
60QA001258,93
60QA001259,96
60QA001260,114
60QA001261,131
60QA001262,133
60QA001263,117
60QA001264,140
60QA001265,78
60QA001266,127
60QA001267,113
60QA001268,189
60QA001269,122
60QA001270,154
60QA001271,125
60QA001272,194
60QA001273,169
60QA001274,185
60QA001275,135
60QA001276,147
60QA001277,135
60QA001278,140
60QA001279,112
60QA001280,181
60QA001281,144
60QA001282,70
60QA001283,194
60QA001284,198
60QA001285,175
60QA001286,91
60QA001287,59
60QA001288,104
60QA001289,94
60QA001290,85
60QA001291,65
60QA001292,94
60QA001293,125
60QA001294,51
60QA001295,63
60QA001296,68
60QA001297,60
60QA001298,122
60QA001299,110
60QA001300,118
60QA001301,61
60QA001302,92
60QA001303,126
60QA001304,159
60QA001305,65
60QA001306,56
60QA001307,108
60QA001308,73
60QA001309,71
60QA001310,98
60QA001311,74
60QA001312,59
60QA001313,97
60QA001314,96
60QA001315,173
60QA001316,97
60QA001317,84
60QA001318,113
60QA001319,67
60QA001320,226
60QA001321,58
60QA001322,106
60QA001323,239
60QA001324,156
60QA001325,57
60QA001326,89
60QA001327,101
60QA001328,183
60QA001329,66
60QA001330,73
60QA001331,106
60QA001332,58
60QA001333,55
60QA001334,52
60QA001335,144
60QA001336,122
60QA001337,71
60QA001338,69
60QA001339,51
60QA001340,140
60QA001341,67
60QA001342,141
60QA001343,92
60QA001344,78
60QA001345,95
60QA001346,121
60QA001347,102
60QA001348,57
60QA001349,57
60QA001350,91
60QA001351,61
60QA001352,149
60QA001353,73
60QA001354,102
60QA001355,106
60QA001356,215
60QA001357,108
60QA001358,123
60QA001359,199
60QA001360,88
60QA001361,64
60QA001362,59
60QA001363,67
60QA001364,163
60QA001365,157
60QA001366,112
60QA001367,120
60QA001368,129
60QA001369,72
60QA001370,147
60QA001371,64
60QA001372,71
60QA001373,116
60QA001374,125
60QA001375,192
60QA001376,106
60QA001377,68
60QA001378,57
60QA001379,134
60QA001380,113
60QA001381,134
60QA001382,291
60QA001383,73
60QA001384,117
60QA001385,85
60QA001386,75
60QA001387,245
60QA001388,99
60QA001389,61
60QA001390,107
60QA001391,66
60QA001392,60
60QA001393,106
60QA001394,60
60QA001395,149
60QA001396,84
60QA001397,56
60QA001398,68
60QA001399,125
60QA001400,72
60QA001401,65
60QA001402,124
60QA001403,118
60QA001404,128
60QA001405,103
60QA001406,70
60QA001407,60
60QA001408,67
60QA001409,74
60QA001410,131
60QA001411,51
60QA001412,55
60QA001413,83
60QA001414,54
60QA001415,116
60QA001416,53
60QA001417,112
60QA001418,85
60QA001419,76
60QA001420,145
60QA001421,77
60QA001422,84
60QA001423,109
60QA001424,81
60QA001425,70
60QA001426,83
60QA001427,112
60QA001428,81
60QA001429,90
60QA001430,76
60QA001431,92
60QA001432,90
60QA001433,123
60QA001434,106
60QA001435,73
60QA001436,76
60QA001437,64
60QA001438,93
60QA001439,80
60QA001440,70
60QA001441,90
60QA001442,68
60QA001443,124
60QA001444,84
60QA001445,127
60QA001446,60
60QA001447,70
60QA001448,75
60QA001449,98
60QA001450,93
60QA001451,54
60QA001452,260
60QA001453,99
60QA001454,93
60QA001455,199
60QA001456,129
60QA001457,90
60QA001458,89
60QA001459,76
60QA001460,163
60QA001461,118
60QA001462,108
60QA001463,135
60QA001464,53
60QA001465,164
60QA001466,131
60QA001467,74
60QA001468,69
60QA001469,103
60QA001470,118
60QA001471,85
60QA001472,73
60QA001473,189
60QA001474,92
60QA001475,113
60QA001476,107
60QA001477,605
60QA001478,106
60QA001479,77
60QA001480,89
60QA001481,119
60QA001482,125
60QA001483,84
60QA001484,110
60QA001485,141
60QA001486,89
60QA001487,62
60QA001488,172
60QA001489,111
60QA001490,158
60QA001491,95
60QA001492,61
60QA001493,57
60QA001494,113
60QA001495,96
60QA001496,111
60QA001497,79
60QA001498,143
60QA001499,120
60QA001500,159
60QA001501,86
60QA001502,104
60QA001503,85
60QA001504,95
60QA001505,91
