"code","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"E01009516",72,101,92,62,64,50,57,64,50,53,41
"E01009517",135,167,120,133,93,84,116,77,53,52,66
"E01009518",76,114,118,92,79,89,85,69,53,65,53
"E01009519",57,90,98,79,81,102,61,58,33,44,30
"E01009520",46,74,71,33,66,60,67,46,40,42,50
"E01009521",121,118,122,111,80,78,104,91,56,71,63
"E01009260",101,70,71,45,51,55,64,47,45,54,61
"E01009261",134,91,74,56,67,55,57,47,47,58,74
"E01009262",65,29,46,60,44,43,40,37,36,45,35
"E01009263",87,69,67,63,55,57,49,40,40,56,58
"E01009264",70,82,103,81,71,90,59,63,48,52,77
"E01009265",115,79,88,87,87,92,73,61,74,75,61
"E01009266",83,96,76,96,78,78,92,69,69,81,91
"E01009267",42,29,42,44,32,33,42,28,38,38,26
"E01009268",66,62,32,52,93,28,52,42,36,37,38
"E01009269",164,109,81,111,92,68,84,81,54,77,79
"E01009270",109,110,90,108,89,104,64,63,73,89,84
"E01009271",80,65,45,67,65,47,46,42,53,51,38
"E01009272",152,120,84,101,131,82,70,70,51,60,55
"E01009273",105,79,71,99,70,78,52,48,51,54,62
"E01009274",150,137,88,120,121,116,102,86,116,125,130
"E01009275",87,112,111,94,86,94,76,60,68,77,71
"E01009276",103,61,50,62,64,56,61,49,35,46,39
"E01009278",111,113,139,138,157,109,96,84,87,97,102
"E01009279",53,34,43,36,41,48,50,55,37,33,28
"E01009280",177,166,160,144,101,120,105,100,111,68,30
"E01009281",119,103,90,102,99,96,66,76,99,84,65
"E01009282",109,106,82,71,117,92,74,86,80,77,70
"E01009286",130,100,122,105,121,125,86,113,62,83,109
"E01009288",99,67,83,67,86,46,42,49,32,46,62
"E01009289",186,115,179,152,129,162,103,113,107,85,103
"E01009290",116,121,154,105,103,104,73,64,86,81,94
"E01009291",112,119,84,98,101,99,85,75,80,125,86
"E01009292",94,64,71,71,81,50,63,60,59,75,71
"E01009293",72,61,63,65,83,82,82,80,60,52,73
"E01009294",198,207,172,166,181,179,167,136,145,140,153
"E01009295",175,157,130,146,166,132,160,126,142,103,77
"E01009296",97,79,75,90,81,88,89,84,72,56,86
"E01009297",218,182,187,192,173,163,121,122,107,104,104
"E01009298",173,246,199,219,149,163,134,100,82,73,61
"E01009299",190,162,165,128,113,146,127,95,83,68,35
"E01009300",273,228,216,188,208,232,227,136,96,113,88
"E01009301",212,166,125,106,99,112,108,85,100,85,64
"E01009302",85,81,80,80,74,103,86,41,57,63,37
"E01009303",149,154,177,141,96,168,129,93,118,92,119
"E01009304",215,171,185,188,216,197,115,121,85,97,104
"E01009305",92,110,116,153,164,128,103,101,94,56,67
"E01009306",136,123,97,116,129,117,96,69,46,52,54
"E01009308",137,124,140,90,106,125,97,82,62,65,69
"E01009310",172,163,226,200,197,200,190,151,106,108,93
"E01009311",157,148,170,196,198,150,132,114,87,94,59
"E01009312",66,91,57,48,54,85,69,44,48,37,38
"E01009313",85,89,112,104,102,149,155,98,68,56,38
"E01009314",141,157,139,144,118,95,107,114,93,95,76
"E01009315",250,300,236,272,283,272,201,166,144,177,137
"E01009316",260,235,143,257,186,206,144,138,141,110,137
