"code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"E00047632","0","6","25","53","49","66","57","24","27","55","40","48","44","70","33","108","12"
"E00047534","0","6","7","16","15","2","7","7","30","3","3","3","6","0","6","6","3"
"E00045242","0","18","2","9","33","3","6","10","9","14","9","5","0","3","9","6","0"
"E00045455","0","15","14","34","24","33","17","33","32","16","6","3","21","6","33","16","12"
"E00046634","0","28","67","77","82","142","88","7","38","70","51","15","1","17","16","31","4"
"E00046318","0","6","7","5","12","0","12","3","14","6","6","17","7","0","20","0","0"
"E00046603","0","3","1","2","3","3","4","0","0","0","9","3","6","17","6","0","0"
"E00046367","0","11","4","37","65","55","75","34","41","71","69","66","77","44","47","32","22"
"E00045173","0","5","9","32","35","32","10","21","35","17","9","9","12","26","6","0","3"
"E00045206","0","0","6","38","25","9","22","10","9","17","12","14","3","9","15","49","6"
"E00047468","0","27","43","18","27","21","21","26","27","17","6","9","3","38","4","18","1"
"E00046284","0","4","6","28","15","10","19","32","26","14","14","11","3","6","20","3","0"
"E00046888","0","0","3","2","6","6","9","9","3","1","0","3","0","0","0","0","3"
"E00047519","0","9","65","32","33","30","30","42","24","3","16","26","23","20","23","42","8"
"E00047875","0","0","3","8","3","20","6","6","7","14","3","0","3","0","3","9","0"
"E00046278","0","4","11","21","0","3","0","0","9","1","9","9","0","3","6","20","0"
"E00047381","0","19","37","62","40","82","39","57","44","23","15","40","48","51","47","61","4"
"E00045769","0","0","3","11","3","4","3","17","0","7","0","0","0","0","0","18","1"
"E00046321","0","0","7","37","30","24","6","21","7","12","9","14","0","9","9","9","3"
"E00047319","0","6","20","59","38","54","33","22","35","18","18","32","14","40","7","17","0"
"E00175788","0","0","5","5","14","6","4","24","9","7","1","17","28","11","0","22","0"
"E00046616","0","20","66","84","49","55","39","75","51","27","39","21","29","26","33","6","4"
"E00046962","0","6","18","20","3","3","12","12","13","18","0","3","0","3","1","0","3"
"E00047390","0","13","63","50","36","54","18","39","36","15","29","25","42","39","7","9","0"
"E00046369","0","0","7","9","0","0","3","20","3","0","6","9","6","3","3","0","0"
"E00045191","0","8","26","18","9","9","9","1","3","24","6","3","0","0","0","3","6"
"E00046663","0","24","22","25","48","41","48","19","69","23","18","12","9","22","49","18","0"
"E00046424","0","6","0","9","12","9","6","14","10","18","6","0","3","10","0","6","3"
"E00046253","0","6","0","17","6","9","15","21","37","12","3","9","23","9","9","9","6"
"E00046651","0","3","8","6","19","12","0","18","3","9","0","6","3","6","17","14","0"
"E00045966","0","3","6","6","7","15","9","8","6","6","9","9","9","20","6","6","0"
"E00046653","0","3","0","25","27","19","34","42","12","16","11","6","8","3","6","6","0"
"E00045687","0","33","76","123","96","217","121","147","75","45","53","92","54","92","77","70","35"
"E00045580","0","0","10","5","1","9","15","0","3","6","4","9","6","3","0","0","0"
"E00045996","0","36","42","50","43","25","22","26","46","33","27","32","13","41","23","16","6"
"E00046070","0","7","3","25","30","31","15","15","15","24","8","0","17","6","0","3","3"
"E00047188","0","0","7","3","9","12","3","11","0","3","0","6","6","0","20","14","0"
"E00046615","0","5","3","35","20","31","31","10","10","20","32","21","12","32","34","32","5"
"E00046932","0","7","17","19","9","9","12","18","3","20","3","3","14","3","12","0","3"
"E00046292","0","7","6","9","13","4","3","12","18","9","6","8","1","3","17","17","0"
"E00045239","0","3","8","35","37","19","23","15","9","27","3","14","3","0","11","3","6"
"E00046665","0","0","19","45","16","45","32","53","36","8","3","11","48","9","26","29","9"
"E00045399","0","6","18","22","17","22","17","32","30","17","18","0","9","17","9","3","8"
"E00047450","0","14","22","26","14","11","37","11","12","35","21","6","25","17","11","3","3"
"E00045962","0","17","3","3","2","0","3","3","3","9","4","3","0","0","6","17","0"
"E00046507","0","8","7","18","11","15","6","6","0","18","12","15","3","4","23","0","0"
"E00046427","0","6","13","9","24","19","12","12","12","7","12","20","18","9","9","23","0"
"E00046982","0","29","55","65","84","160","45","43","16","27","19","20","0","7","6","6","0"
"E00047402","0","26","37","57","59","91","35","59","21","75","9","54","29","59","42","49","6"
"E00047034","0","3","6","8","5","9","6","25","6","6","25","9","3","3","9","21","3"
"E00175615","0","12","128","43","68","48","72","85","57","38","39","51","62","67","64","143","29"
"E00047984","0","1","20","1","12","3","0","24","6","16","17","3","14","11","0","0","0"
